iter	MAE	RMSE
0	1003112.582	1210839.086
1	999443.4504	1206834.755
2	995670.5447	1202737.402
3	992091.1069	1198945.366
4	988468.3658	1194861.391
5	984892.7756	1190946.843
6	981218.6881	1186941.276
7	977513.4908	1182927.532
8	973949.9285	1179062.974
9	970390.1182	1175278.402
10	966776.94	1171583.119
11	963105.6187	1167547.3
12	959601.0194	1163653.044
13	956267.7708	1159998.058
14	952813.3087	1156129.434
15	949432.2687	1152452.841
16	945924.4179	1148690.386
17	942437.283	1144940.297
18	939065.8945	1141395.127
19	935571.9314	1137616.839
20	932161.1967	1133860.837
21	928721.4627	1130204.764
22	925368.7069	1126575.331
23	922092.0398	1122940.454
24	918874.4636	1119484.414
25	915544.5851	1115814.992
26	912273.8719	1112195.961
27	908982.8737	1108675.044
28	905718.5902	1105152.547
29	902453.9518	1101504.163
30	899297.7644	1098057.198
31	895941.4537	1094316.362
32	892815.3528	1090896.739
33	889765.4205	1087577.071
34	886519.9919	1084039.316
35	883404.7326	1080644.012
36	880158.8315	1077091.352
37	876991.9395	1073561.472
38	873841.1173	1070078.318
39	870729.8271	1066750.204
40	867610.5042	1063266.336
41	864544.5285	1059774.052
42	861588.2619	1056365.269
43	858546.9033	1053067.548
44	855521.2402	1049712.892
45	852395.3653	1046346.067
46	849278.2354	1042879.002
47	846338.0233	1039574.936
48	843334.8103	1036234.344
49	840280.614	1032802.066
50	837312.9324	1029581.789
51	834403.2811	1026503.441
52	831449.7728	1023223.407
53	828448.5575	1019946
54	825543.9266	1016827.504
55	822673.1422	1013786.76
56	819686.0734	1010555.47
57	816826.164	1007569.424
58	813942.0153	1004482.675
59	811190.9449	1001525.424
60	808317.5602	998374.4567
61	805525.9123	995306.1506
62	802592.2643	992153.1484
63	799679.8513	988899.1808
64	796971.2352	985820.0389
65	794131.3734	982734.3163
66	791408.4698	979655.8257
67	788734.0933	976593.3466
68	786059.0516	973668.0559
69	783275.7796	970668.7268
70	780578.4943	967680.7296
71	777920.9353	964737.6634
72	775347.9406	961911.2555
73	772584.0343	958826.9693
74	769984.4181	955957.4246
75	767359.539	953068.3193
76	764684.8543	950080.9371
77	762082.8542	947155.5472
78	759545.6608	944332.5968
79	756929.917	941335.5951
80	754384.5434	938508.4031
81	751876.3168	935601.1461
82	749456.5807	932825.3459
83	746972.274	930009.3771
84	744538.5882	927383.8476
85	742007.1601	924670.4291
86	739651.0094	922092.3962
87	737309.4446	919479.9379
88	734856.3253	916709.8912
89	732543.7735	914116.9216
90	730128.7975	911343.3279
91	727811.9952	908755.1153
92	725302.3177	906001.8939
93	722729.2076	903116.0634
94	720382.8504	900429.6557
95	717930.4368	897655.0027
96	715578.8668	894939.2213
97	713158.9853	892206.2851
98	710829.4613	889571.235
99	708435.4762	886916.9632
100	706140.3821	884395.2054
101	703754.3729	881763.7776
102	701456.5006	879173.9252
103	699049.3428	876415.0605
104	696842.8587	873985.2652
105	694600.0385	871398.4106
106	692228.8244	868672.1042
107	689958.9226	866118.3003
108	687712.5814	863586.7196
109	685492.0283	861018.116
110	683210.2262	858459.2681
111	681045.1964	856000.9204
112	678871.3494	853627.2942
113	676685.2982	851142.6278
114	674518.2275	848742.8636
115	672414.6853	846416.0778
116	670345.5435	844147.8152
117	668208.5408	841734.8559
118	666170.7656	839391.5076
119	664024.85	836951.1115
120	661928.3272	834523.9673
121	659797.5348	832102.0144
122	657677.4026	829768.7205
123	655630.1063	827463.6077
124	653663.3243	825197.2211
125	651738.8152	823208.9454
126	649755.7006	820947.9643
127	647746.1612	818725.4673
128	645664.8168	816391.9833
129	643517.7884	813971.3425
130	641598.0691	811905.6088
131	639457.4523	809513.685
132	637524.2864	807449.4132
133	635483.8065	805122.3688
134	633509.2192	802848.7177
135	631514.3758	800590.5093
136	629498.6289	798423.4181
137	627580.8619	796305.8384
138	625747.5096	794140.7897
139	623868.4897	791943.1374
140	622028.8134	789972.0528
141	620214.1336	787936.4145
142	618381.4691	785840.6238
143	616497.1975	783713.0201
144	614586.6317	781567.4799
145	612677.3427	779376.5076
146	610798.7094	777370.8345
147	608965.0126	775288.4809
148	607175.0824	773249.5495
149	605304.1703	771137.3288
150	603422.8801	768988.993
151	601629.0034	766975.9086
152	599785.1147	764886.4276
153	598025.6087	762880.0371
154	596276.0984	760939.2027
155	594484.4344	758871.3605
156	592690.8284	756841.1408
157	590903.5947	754792.3592
158	589132.8567	752744.5908
159	587314.3874	750687.1893
160	585571.2498	748766.7471
161	583788.6837	746736.2325
162	582055.3414	744749.6203
163	580300.277	742753.4126
164	578625.4654	740815.2996
165	576915.6624	738879.6858
166	575218.7474	736993.6259
167	573561.5202	735035.754
168	571907.5829	733100.4428
169	570215.6207	731172.119
170	568504.6522	729218.2772
171	566884.1541	727344.154
172	565291.1473	725586.9413
173	563726.6961	723760.2194
174	562084.1665	721885.4245
175	560521.2594	720051.1399
176	558859.2015	718131.8713
177	557200.948	716247.4286
178	555677.1617	714506.0884
179	554089.0408	712658.0774
180	552483.2725	710843.1552
181	550910.2998	709040.5342
182	549466.2236	707362.9788
183	547984.9077	705689.7869
184	546424.0406	703862.1055
185	544913.771	702128.0165
186	543406.4409	700476.4481
187	541838.9258	698669.708
188	540256.9731	696841.7081
189	538733.8609	695072.9511
190	537261.2251	693335.3548
191	535690.8694	691590.2869
192	534158.5323	689900.6232
193	532587.6917	688102.0913
194	531003.2708	686317.4458
195	529589.6381	684745.3839
