iter	Passed	Remaining
0	2	53174
1	5	50298
2	7	47062
3	9	45571
4	11	44626
5	13	43592
6	15	43242
7	17	42762
8	18	42122
9	20	41895
10	22	41642
11	24	41579
12	79	121836
13	81	116211
14	83	111002
15	85	106554
16	87	102514
17	89	98847
18	91	95791
19	92	92809
20	94	90270
21	96	88077
22	99	86001
23	101	84118
24	102	82261
25	104	80590
26	106	79066
27	108	77585
28	110	76330
29	112	75086
30	114	73952
31	116	72888
32	118	71847
33	121	71467
34	178	101580
35	179	99810
36	181	98167
37	183	96583
38	185	95029
39	187	93550
40	189	92282
41	191	90975
42	193	89812
43	195	88804
44	197	87691
45	199	86627
46	201	85557
47	203	84555
48	205	83599
49	207	82709
50	209	81888
51	211	81082
52	213	80332
53	215	79512
54	217	78765
55	219	78031
56	220	77197
57	222	76356
58	225	76231
59	277	92278
60	279	91456
61	281	90609
62	283	89778
63	285	88947
64	287	88179
65	289	87432
66	291	86699
67	293	85947
68	295	85273
69	297	84644
70	299	83978
71	301	83312
72	302	82683
73	304	82043
74	306	81492
75	308	80898
76	310	80306
77	312	79752
78	314	79196
79	316	78720
80	317	78184
81	319	77599
82	321	77123
83	376	89349
84	378	88741
85	380	88144
86	382	87594
87	384	87068
88	386	86491
89	388	85874
90	390	85351
91	392	84837
92	393	84297
93	395	83838
94	397	83367
95	399	82882
96	401	82406
97	403	81931
98	405	81466
99	407	81025
100	409	80619
101	411	80198
102	413	79820
103	415	79421
104	417	79047
105	419	78658
106	421	78326
107	475	87513
108	477	87071
109	479	86635
110	481	86212
111	483	85770
112	485	85362
113	486	84936
114	488	84513
115	490	84089
116	492	83664
117	494	83270
118	496	82903
119	498	82537
120	500	82180
121	502	81869
122	504	81537
123	506	81187
124	508	80870
125	510	80451
126	512	80125
127	514	79817
128	516	79509
129	518	79180
130	573	87032
131	575	86691
132	577	86323
133	579	85967
134	581	85628
135	583	85251
136	585	84894
137	587	84557
138	589	84237
139	591	83890
140	593	83571
141	595	83264
142	597	82957
143	599	82641
144	601	82316
145	603	82024
146	605	81721
147	607	81424
148	608	81133
149	610	80843
150	612	80554
151	614	80273
152	617	80074
153	673	86802
154	675	86522
155	677	86239
156	679	85926
157	681	85601
158	683	85318
159	685	85022
160	687	84716
161	689	84409
162	691	84118
163	693	83821
164	695	83553
165	696	83274
166	699	83027
167	700	82746
168	702	82485
169	705	82236
170	707	82054
171	709	81765
172	711	81519
173	713	81266
174	715	81006
175	716	80727
176	718	80494
177	722	80427
178	725	80385
179	773	85160
180	775	84907
181	777	84647
182	779	84388
183	781	84156
184	783	83899
185	785	83670
186	787	83432
187	789	83181
188	791	82963
189	793	82719
190	795	82473
191	797	82247
192	799	82025
193	801	81805
194	803	81578
195	805	81352
196	807	81130
197	808	80904
198	810	80677
