BFE-nummer,Adresse,Offentlig ejendomsværdi,Offentlige grundværdi,Seneste handelspris,Enhedsareal - Beboelse,Pris pr. m2,Seneste handelsdato,Seneste handlet andel,Handelsmetode,Anvendelse,Opførelsesår,Tinglyst areal (Ejerlejligheder),Longitude,Latitude,Primær ejers adresse,Vejnavn,Husnr.,Etage,Antal værelser
420766,"Else Alfelts Vej 93, 7. th, 2300 København S", kr. 1.950.000, kr. 349.600, kr. 3.950.000,  88   , kr. 44.886,01/07/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2014,  75   ,"12,56841568","55,61690988","Else Alfelts Vej 93,7 th, 2300 København S",Else Alfelts Vej,93,7,3
109362,"C.F. Møllers Allé 66, 7. tv, 2300 København S", kr. 1.850.000, kr. 351.700, kr. 4.300.000,  92   , kr. 46.739,01/06/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  76   ,"12,57771642","55,63446794","C.F. Møllers Allé 66,7 tv, 2300 København S",C.F. Møllers Allé,66,7,3
124613,"Lombardigade 19, 3. tv, 2300 København S", kr. 960.000, kr. 70.200, kr. 2.400.000,  56   , kr. 42.857,01/06/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1904,  48   ,"12,61348571","55,65432904","Skolegade 10, 4100 Ringsted",Lombardigade,19,3,2
103200,"Ved Amagerport 9, 3. th, 2300 København S", kr. 1.600.000, kr. 172.900, kr. 5.050.000,  90   , kr. 56.111,01/06/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1913,  83   ,"12,59622212","55,66660875","Ved Amagerport 9,3 th, 2300 København S",Ved Amagerport,9,3,3
132843,"Øresundsvej 104, 4. th, 2300 København S", kr. 1.400.000, kr. 124.300, kr. 4.100.000,  82   , kr. 50.000,01/06/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1932,  74   ,"12,62117919","55,66122067","Øresundsvej 104,4 th, 2300 København S",Øresundsvej,104,4,4
111008,"Amager Boulevard 112, st. tv, 2300 København S", kr. 1.250.000, kr. 162.700, kr. 3.200.000,  63   , kr. 50.793,01/06/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2018,  51   ,"12,59414465","55,6665039","Amager Boulevard 112,st tv, 2300 København S",Amager Boulevard,112,st,2
140227,"Østerdalsgade 3B, 3. tv, 2300 København S", kr. 1.000.000, kr. 116.900, kr. 2.500.000,  64   , kr. 39.062,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  59   ,"12,60272073","55,65510918","Drostrupvadvej 4, 6621 Gesten",Østerdalsgade,3B,3,2
101924,"Islands Brygge 24B, 2. tv, 2300 København S", kr. 3.300.000, kr. 486.900, kr. 7.900.000,  105   , kr. 75.238,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1910,  101   ,"12,57121467","55,6631262","Islands Brygge 24B,2 tv, 2300 København S",Islands Brygge,24B,2,3
421374,"Strandlodsvej 23C, 4. th, 2300 København S", kr. 2.700.000, kr. 321.000, kr. 5.600.000,  115   , kr. 48.695,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2021,  103   ,"12,62563654","55,66530886","Strandlodsvej 23C,4 th, 2300 København S",Strandlodsvej,23C,4,3
134421,"Øresund Parkvej 4, 1. tv, 2300 København S", kr. 2.350.000, kr. 485.000, kr. 5.980.000,  112   , kr. 53.392,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2003,  100   ,"12,62799517","55,66394226","None, None None",Øresund Parkvej,4,1,3
101047,"Ejler Billes Allé 50, 1. tv, 2300 København S", kr. 2.700.000, kr. 470.900, kr. 5.500.000,  127   , kr. 43.307,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2020,  118   ,"12,56906469","55,62303383","Ejler Billes Allé 50,1 tv, 2300 København S",Ejler Billes Allé,50,1,4
133201,"Lyneborggade 33, st. tv, 2300 København S", kr. 1.600.000, kr. 224.400, kr. 3.850.000,  79   , kr. 48.734,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  69   ,"12,61179605","55,66386768","Lyneborggade 33,st tv, 2300 København S",Lyneborggade,33,st,2
129235,"Saltholmsvej 6, 2. tv, 2300 København S", kr. 930.000, kr. 83.900, kr. 2.295.000,  52   , kr. 44.134,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1902,  44   ,"12,6086273","55,65949282","Saltholmsvej 6,2 tv, 2300 København S",Saltholmsvej,6,2,2
119662,"Edvard Thomsens Vej 5B, 5. th, 2300 København S", kr. 2.400.000, kr. 478.700, kr. 4.725.000,  119   , kr. 39.705,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  106   ,"12,57316077","55,63221956","Edvard Thomsens Vej 5B,5 th, 2300 København S",Edvard Thomsens Vej,5B,5,4
124673,"Tyrolsgade 19, 2. tv, 2300 København S", kr. 1.200.000, kr. 128.400, kr. 2.795.000,  65   , kr. 43.000,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1902,  59   ,"12,60922747","55,65971775","Duehusvej 109, 4632 Bjæverskov",Tyrolsgade,19,2,3
108787,"Artillerivej 120, 5., 2300 København S", kr. 6.850.000, kr. 552.200, kr. 15.250.000,  203   , kr. 75.123,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2008,  200   ,"12,57038754","55,65832377","Sverige BNR, 9999 Ukendt",Artillerivej,120,5,3
112316,"Jens Otto Krags Gade 17, 3. 1, 2300 København S", kr. 2.150.000, kr. 451.900, kr. 5.700.000,  106   , kr. 53.773,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  94   ,"12,57018086","55,65890247","Islands Brygge 40,3 tv, 2300 København S",Jens Otto Krags Gade,17,3,3
139780,"Peder Lykkes Vej 54, 1. 1, 2300 København S", kr. 640.000, kr. 50.200, kr. 1.995.000,  39   , kr. 51.153,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1935,  34   ,"12,60251615","55,65417104","Peder Lykkes Vej 54,1,-1, 2300 København S",Peder Lykkes Vej,54,1,1
138764,"Robert Jacobsens Vej 78, 5. 1, 2300 København S", kr. 1.850.000, kr. 410.500, kr. 3.600.000,  91   , kr. 39.560,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  79   ,"12,57205823","55,6171277","Robert Jacobsens Vej 78,5,-1, 2300 København S",Robert Jacobsens Vej,78,5,3
112889,"Islands Brygge 77E, 5. th, 2300 København S", kr. 3.500.000, kr. 513.900, kr. 8.250.000,  135   , kr. 61.111,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2008,  122   ,"12,56809029","55,65867587","Tuborgvej 21,st,-5, 2900 Hellerup",Islands Brygge,77E,5,4
136578,"Lyongade 24, st. tv, 2300 København S", kr. 1.000.000, kr. 108.500, kr. 2.710.000,  70   , kr. 38.714,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1941,  67   ,"12,60932873","55,66033854","None, None None",Lyongade,24,st,3
135355,"Øresund Parkvej 15, st. th, 2300 København S", kr. 2.350.000, kr. 527.000, kr. 6.666.666,  117   , kr. 56.980,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  104   ,"12,62948613","55,66334736","Strandlodsvej 129, 2300 København S",Øresund Parkvej,15,st,3
139682,"Richard Mortensens Vej 71, 1. t1, 2300 København S", kr. 2.100.000, kr. 488.400, kr. 4.300.000,  106   , kr. 40.566,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  94   ,"12,57152077","55,61761706","None, 2300 København S",Richard Mortensens Vej,71,1,3
108141,"Æblestien 3, 1. tv, 2300 København S", kr. 1.000.000, kr. 94.100, kr. 3.150.000,  61   , kr. 51.639,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1918,  54   ,"12,59880568","55,66499137","Æblestien 3,1 tv, 2300 København S",Æblestien,3,1,2
104218,"Klaksvigsgade 12, 1. mf, 2300 København S", kr. 2.050.000, kr. 347.100, kr. 4.295.000,  77   , kr. 55.779,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  65   ,"12,58041316","55,66729761","Klaksvigsgade 12,1 mf, 2300 København S",Klaksvigsgade,12,1,2
101000,"Ejler Billes Allé 120, 6. th, 2300 København S", kr. 2.100.000, kr. 374.300, kr. 4.995.000,  97   , kr. 51.494,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  89   ,"12,56881133","55,62356398","Ejler Billes Allé 120,6 th, 2300 København S",Ejler Billes Allé,120,6,4
101000,"Ejler Billes Allé 120, 6. th, 2300 København S", kr. 2.100.000, kr. 374.300, kr. 4.995.000,  97   , kr. 51.494,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  89   ,"12,56881133","55,62356398","Ejler Billes Allé 120,6 th, 2300 København S",Ejler Billes Allé,120,6,-
119691,"Edvard Thomsens Vej 5C, 9. tv, 2300 København S", kr. 2.250.000, kr. 447.100, kr. 4.898.000,  112   , kr. 43.732,01/05/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  106   ,"12,57321357","55,63237331","Edvard Thomsens Vej 5C,9 tv, 2300 København S",Edvard Thomsens Vej,5C,9,4
138746,"Robert Jacobsens Vej 76, 5. 3, 2300 København S", kr. 1.950.000, kr. 441.700, kr. 4.515.000,  97   , kr. 46.546,15/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  85   ,"12,57209615","55,61728423","Robert Jacobsens Vej 76,5,-3, 2300 København S",Robert Jacobsens Vej,76,5,3
119661,"Edvard Thomsens Vej 5B, 5. tv, 2300 København S", kr. 2.200.000, kr. 438.100, kr. 4.600.000,  110   , kr. 41.818,15/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  100   ,"12,57316077","55,63221956","Edvard Thomsens Vej 5B,5 tv, 2300 København S",Edvard Thomsens Vej,5B,5,4
126017,"Italiensvej 2, st., 2300 København S", kr. 1.000.000, kr. 73.100, kr. 2.450.000,  62   , kr. 39.516,15/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1900,  54   ,"12,61932633","55,65408199","Italiensvej 2,st, 2300 København S",Italiensvej,2,st,3
126009,"Lemnosvej 32, 2., 2300 København S", kr. 1.800.000, kr. 479.400, kr. 4.995.000,  89   , kr. 56.123,15/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1914,  125   ,"12,62362335","55,65312382","Lemnosvej 32,2, 2300 København S",Lemnosvej,32,2,2
