bfe,gov_property_value,gov_land_value,unit_sqm_resi,rooms,street_name,street_number,longitude,latitude,building_year,gov_sqm,year,month,floor,y_true,y_pred
138814,1000000.0,150900.0,66.0,2,Hyacintgården,1,12.61264516,55.64824972,1968.0,63.0,2022,2,4.0,2300000,2445308.113364366
132319,960000.0,133600.0,58.0,2,Amsterdamvej,3,12.61400515,55.64873026,1929.0,51.0,2022,2,2.0,2450000,2201286.9526428096
102739,2100000.0,182800.0,96.0,4,Hollænderdybet,30,12.59529186,55.66408801,2007.0,87.0,2022,2,5.0,5150000,5055442.602582747
101376,1750000.0,142500.0,104.0,4,AmagerBoulevard,132,12.59903249,55.66534412,1918.0,95.0,2022,2,4.0,4900000,4923856.0254707895
132863,1850000.0,167000.0,110.0,4,Messinavej,1,12.62079604,55.66116257,1932.0,102.0,2022,2,4.0,4200000,5066267.19648364
131429,960000.0,112600.0,58.0,2,Lynettevej,7,12.6124873,55.65967856,1935.0,50.0,2022,2,3.0,2495000,2460058.3502811245
136658,950000.0,137200.0,52.0,2,Florensvej,12,12.62104518,55.65795371,1940.0,49.0,2022,2,3.0,2470000,2365514.9523181957
133581,1000000.0,266900.0,59.0,2,Engvej,176,12.63459183,55.64614882,1963.0,54.0,2022,2,2.0,2750000,2407466.036906382
123874,950000.0,129400.0,56.0,2,Højdevej,7,12.61168029,55.65454977,1904.0,49.0,2022,2,1.0,2100000,2241643.1558712726
109371,2000000.0,416400.0,103.0,4,C.F.MøllersAllé,68,12.57776102,55.63457005,2007.0,90.0,2022,2,3.0,4300000,4497738.069180345
143775,710000.0,80000.0,41.0,2,Brigadevej,8,12.60097752,55.66279453,1898.0,37.0,2022,2,4.0,2200000,2167439.627989091
139631,2100000.0,488400.0,106.0,3,RichardMortensensVej,65,12.57131576,55.61812802,2010.0,94.0,2022,2,6.0,4375000,4218645.035764188
136091,940000.0,85700.0,53.0,2,Elbagade,77,12.61793509,55.65460243,1935.0,47.0,2022,2,5.0,2440000,2338223.2573731337
133680,700000.0,83000.0,40.0,1,Lemnosvej,17,12.62217543,55.65323486,1939.0,37.0,2022,2,3.0,1800000,1755504.5751596368
109324,1600000.0,301300.0,76.0,3,ØrestadsBoulevard,63,12.58153275,55.63285599,2007.0,68.0,2022,2,6.0,3625000,3380666.5009268243
105470,910000.0,82400.0,53.0,1,Norgesgade,10,12.59853292,55.66391855,1963.0,44.0,2022,2,3.0,2200000,2193650.204556751
136413,960000.0,85300.0,58.0,2,Amagerbrogade,297,12.61703995,55.64123134,1939.0,52.0,2022,2,2.0,2100000,2056217.9697815166
