BFE-nummer,BygningsID,EnhedsID,Status,Vejnavn,Nr,Etage,Dør,Postnr,By,Enhedens anvendelse,Enhedens samlede areal,Areal til beboelse,Areal til erhverv,Andet areal,Enhedens andel af fælles adgangsareal,Areal af åben overdækning,Areal af overdækket udestue,Åben tagterrasse areal,Fysisk areal til beboelse,Fysisk areal til erhverv,Antal værelser,Kilde til enhedens arealer,Toiletforhold,Badeforhold,Køkkenforhold,Godkendt tom bolig,Longitude,Latitude,Kommunekode,Ejendomsnummer
139263,1878cb5a-0d33-4a87-a2cf-fad4bf17180a,dd882c96-c169-431f-9793-1aba19174020,Opført,Hyacintgården,13,1,1,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  72   ,  72   , -, -, -, -, -, -, -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61206358","55,6489426",101,968235
132466,e076f1f8-d777-437f-bccf-4aa9d564daba,fdb9ceba-f60a-4f16-86b9-5617e5e20a54,Opført,Jansvej,3,st,3,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  50   ,  50   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61712492","55,64681645",101,272176
128311,54cc8185-2c1a-4a8e-a570-90be38445834,f1736149-784b-4744-9381-77fda7b31397,Opført,Ålandsgade,1,st,-,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  86   ,  86   , -, -, -, -, -, -, -, -,3,Oplyst af ejer (eller dennes repræsentant),Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60461566","55,66448851",101,679276
128311,54cc8185-2c1a-4a8e-a570-90be38445834,b99783e3-c78d-4de4-bbba-239ff75ef289,Under opførelse,Ålandsgade,1,st,-,2300,København S,-, -, -, -, -, -, -, -,  5   , -, -,-,-,-,-,-,-,"12,60461566","55,66448851",101,679276
132789,41b051e4-63b2-48b2-b1f8-75297f344f11,95d9db3d-17d2-4b82-91f2-3b79bebe87ec,Opført,Amagerbrogade,125,2,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  87   ,  87   , -, -, -, -, -, -, -, -,4,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60882","55,65744759",101,19101
103139,4ef23563-8bc8-491e-8758-270d2ceb439c,67d7ab79-fc22-4087-90b8-5454549d9b63,Opført,Ved Linden,6,4,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  110   ,  110   , -, -, -, -, -, -, -, -,4,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,59664421","55,66699363",101,613682
133799,de0c0942-1143-499a-b3e3-9b7d56c879d8,4562492a-9350-4500-b16a-72f0733ad265,Opført,Maltagade,24,1,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  54   ,  54   , -, -, -, -, -,  3   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61668694","55,65302062",101,364348
134242,a4e969fb-286a-472d-b682-26a7ce672700,6ea2beb8-9d86-4537-9222-09ba5da8c514,Opført,Hessensgade,27,3,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  56   ,  56   , -, -, -, -, -,  6   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61618004","55,66472036",101,225038
142852,2d7a866a-8e2f-434a-a091-32767ca7448e,8a93a23b-753d-4ee2-b832-86b9a2677831,Opført,Georginevej,12,2,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  61   ,  61   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61300776","55,64470546",101,178684
134245,a4e969fb-286a-472d-b682-26a7ce672700,577fc59b-988b-40b8-a0ed-e6edf5e5bf8b,Opført,Hessensgade,29,1,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  56   ,  56   , -, -, -, -, -,  -   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61623713","55,6646391",101,225097
