,count,mean,std,min,25%,50%,75%,max
bfe_nummer,3762.0,168948.48777246146,1632462.3669044517,101006.0,113396.0,131665.5,136119.75,100179329.0
offentlig_ejendomsværdi,3762.0,1578928.7347155767,797736.2122066589,280000.0,960000.0,1300000.0,2050000.0,6850000.0
offentlige_grundværdi,3762.0,242874.80063795854,168536.7173092797,37200.0,104700.0,168300.0,374000.0,1141300.0
seneste_handelspris,3762.0,3390777.4191919193,1606765.0364434589,920000.0,2225000.0,3020000.0,4143750.0,15500000.0
enhedsareal_beboelse,3762.0,79.84316852737905,28.444432501691796,25.0,57.0,74.0,100.0,224.0
pris_pr_m2,3762.0,41816.437267410955,8242.580183265301,16120.0,36170.0,40767.0,46153.0,90637.0
opførelsesår,3762.0,1961.077086656034,40.9995935313272,1872.0,1932.0,1940.0,2006.0,2021.0
tinglyst_areal_ejerlejligheder,3762.0,71.66533758639022,26.555674435566544,23.0,51.0,67.0,89.0,302.0
longitude,3762.0,12.60033059871611,0.01894321975177889,12.56400799,12.58153275,12.605722145,12.61607108,12.63511252
latitude,3762.0,55.65422764633971,0.013581174581973332,55.61653656,55.65061406,55.65941015,55.66391855,55.66870439
etage,3762.0,3.5704412546517807,2.1304089124884773,1.0,2.0,3.0,5.0,16.0
antal_værelser,3762.0,2.671451355661882,0.9310036776543504,1.0,2.0,3.0,3.0,7.0
year,3762.0,2020.311004784689,0.909362861635703,2019.0,2020.0,2020.0,2021.0,2022.0
month,3762.0,6.390483785220628,3.4292863888572533,1.0,3.0,6.0,9.0,12.0
day,3762.0,4.664274322169059,6.590603046463914,1.0,1.0,1.0,4.0,31.0
