,bfe_nummer,adresse,offentlig_ejendomsværdi,offentlige_grundværdi,seneste_handelspris,enhedsareal_beboelse,pris_pr_m2,seneste_handelsdato,seneste_handlet_andel,handelsmetode,anvendelse,opførelsesår,tinglyst_areal_ejerlejligheder,longitude,latitude,primær_ejers_adresse,vejnavn,husnr,etage,antal_værelser,year,month,day
99,111445,"AmagerBoulevard110,st.tv,2300KøbenhavnS",2250000.0,326700.0,6200000,114.0,54385.0,2022-03-25,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2018.0,101.0,12.59378819,55.66651293,"Stenrosevej1A,2300KøbenhavnS",AmagerBoulevard,110,1.0,4,2022,3,25
100,103789,"Weidekampsgade61,st.th,2300KøbenhavnS",2100000.0,404900.0,4000000,83.0,48192.0,2022-03-24,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,71.0,12.58163606,55.6673983,"Weidekampsgade61,stth,2300KøbenhavnS",Weidekampsgade,61,1.0,2,2022,3,24
101,135089,"Marengovej12,1.tv,2300KøbenhavnS",1350000.0,167400.0,3845000,78.0,49294.0,2022-03-21,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1935.0,75.0,12.62113554,55.65820336,"Højdevej36,2th,2300KøbenhavnS",Marengovej,12,2.0,4,2022,3,21
103,132821,"Elbagade21,4.th,2300KøbenhavnS",1050000.0,97500.0,2375000,62.0,38306.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1932.0,54.0,12.61341214,55.65372785,"VibyAlle42,2770Kastrup",Elbagade,21,5.0,2,2022,3,15
104,131622,"Caprivej2,1.tv,2300KøbenhavnS",960000.0,82000.0,2725000,56.0,48660.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1937.0,53.0,12.62114697,55.66068112,"Caprivej2,1tv,2300KøbenhavnS",Caprivej,2,2.0,2,2022,3,15
105,140061,"RichardMortensensVej73,5.4,2300KøbenhavnS",1950000.0,441700.0,3995000,97.0,41185.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,85.0,12.57140911,55.61744812,"RichardMortensensV73,5,-4,2300KøbenhavnS",RichardMortensensVej,73,6.0,3,2022,3,15
106,137429,"Hallandsgade6A,3.tv,2300KøbenhavnS",1000000.0,96700.0,3180000,60.0,53000.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1902.0,52.0,12.59994236,55.66370246,"Hallandsgade6A,3tv,2300KøbenhavnS",Hallandsgade,6,4.0,2,2022,3,15
107,136451,"KvintusAllé14,3.2,2300KøbenhavnS",1900000.0,277300.0,4350000,87.0,50000.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,80.0,12.61904007,55.65992255,"Møllegade25A,2tv,2200KøbenhavnN",KvintusAllé,14,4.0,3,2022,3,15
108,125520,"Kastrupvej50,2.n,2300KøbenhavnS",1050000.0,165300.0,2350000,63.0,37301.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1970.0,55.0,12.61704456,55.65567681,"None,2300KøbenhavnS",Kastrupvej,50,3.0,2,2022,3,15
109,139152,"RobertJacobsensVej80,4.4,2300KøbenhavnS",1200000.0,249400.0,2970000,60.0,49500.0,2022-03-15,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2010.0,48.0,12.57201842,55.61693824,"Smedevej3B,3480Fredensborg",RobertJacobsensVej,80,5.0,2,2022,3,15
